close,exchange,high,instrumentidentifier,tradedqty,lasttradetime,low,open,openinterest
24.55,NFO,25.1,NIFTY25MAY2318500CE,183150,2023-05-23 10:59:00+00,24.35,25.1,9943250
111.4,NFO,112.7,NIFTY25MAY2318500PE,59850,2023-05-23 10:59:00+00,110.7,110.8,3027300
111.7,NFO,113.7,NIFTY25MAY2318500PE,113100,2023-05-23 11:00:00+00,111.5,112.25,3027300
24.35,NFO,24.65,NIFTY25MAY2318500CE,268000,2023-05-23 11:00:00+00,23.8,24.4,9943250
112.8,NFO,113,NIFTY25MAY2318500PE,49500,2023-05-23 11:01:00+00,110.15,111.85,3027300
24.3,NFO,24.85,NIFTY25MAY2318500CE,148250,2023-05-23 11:01:00+00,24.2,24.3,9943250
112.65,NFO,115.55,NIFTY25MAY2318500PE,132550,2023-05-23 11:02:00+00,112.15,112.5,3016950
24,NFO,24.45,NIFTY25MAY2318500CE,323050,2023-05-23 11:02:00+00,23,24.4,9995600
111.5,NFO,114.55,NIFTY25MAY2318500PE,66200,2023-05-23 11:03:00+00,111.5,112.65,3016950
24.5,NFO,24.5,NIFTY25MAY2318500CE,150300,2023-05-23 11:03:00+00,23.4,24,9995600
111,NFO,111.4,NIFTY25MAY2318500PE,89700,2023-05-23 11:04:00+00,109.15,111.4,3016950
24.45,NFO,25.15,NIFTY25MAY2318500CE,339250,2023-05-23 11:04:00+00,24.45,24.45,9995600
109,NFO,111.5,NIFTY25MAY2318500PE,60500,2023-05-23 11:05:00+00,108.75,111,3028600
25.15,NFO,25.25,NIFTY25MAY2318500CE,209300,2023-05-23 11:05:00+00,24.25,24.25,10007200
108.2,NFO,109.75,NIFTY25MAY2318500PE,61950,2023-05-23 11:06:00+00,107.8,108.65,3028600
25.4,NFO,25.4,NIFTY25MAY2318500CE,176500,2023-05-23 11:06:00+00,24.8,25.1,10007200
107.95,NFO,108.55,NIFTY25MAY2318500PE,71600,2023-05-23 11:07:00+00,106.65,108.2,3028600
25.7,NFO,25.95,NIFTY25MAY2318500CE,241900,2023-05-23 11:07:00+00,25.35,25.35,10007200
109.9,NFO,110.15,NIFTY25MAY2318500PE,74850,2023-05-23 11:08:00+00,106.85,108.15,3031450
25.1,NFO,26.1,NIFTY25MAY2318500CE,343850,2023-05-23 11:08:00+00,25,25.6,10025450
109.1,NFO,110.4,NIFTY25MAY2318500PE,39350,2023-05-23 11:09:00+00,108.2,109.65,3031450
25.5,NFO,25.75,NIFTY25MAY2318500CE,133050,2023-05-23 11:09:00+00,25.1,25.2,10025450
25.85,NFO,26.25,NIFTY25MAY2318500CE,297650,2023-05-23 11:10:00+00,25.35,25.5,10025450
107.2,NFO,109.1,NIFTY25MAY2318500PE,83100,2023-05-23 11:10:00+00,106.2,108.9,3031450
106.55,NFO,107.25,NIFTY25MAY2318500PE,68750,2023-05-23 11:11:00+00,105.4,107.25,3041100
26.4,NFO,26.55,NIFTY25MAY2318500CE,294200,2023-05-23 11:11:00+00,25.8,25.95,9978950
106.8,NFO,107.1,NIFTY25MAY2318500PE,80300,2023-05-23 11:12:00+00,104.8,106.3,3041100
26,NFO,26.55,NIFTY25MAY2318500CE,512450,2023-05-23 11:12:00+00,26,26.35,9978950
105.5,NFO,108.35,NIFTY25MAY2318500PE,73650,2023-05-23 11:13:00+00,105.05,107,3041100
26.65,NFO,26.7,NIFTY25MAY2318500CE,323100,2023-05-23 11:13:00+00,25.4,25.95,9978950
26.45,NFO,26.9,NIFTY25MAY2318500CE,246600,2023-05-23 11:14:00+00,26.2,26.85,9882200
105.85,NFO,106.65,NIFTY25MAY2318500PE,65000,2023-05-23 11:14:00+00,104.1,104.95,3050000
106,NFO,106.35,NIFTY25MAY2318500PE,304550,2023-05-23 11:15:00+00,105.05,106.35,3050000
26.95,NFO,27,NIFTY25MAY2318500CE,378250,2023-05-23 11:15:00+00,26.45,26.5,9882200
26.6,NFO,27,NIFTY25MAY2318500CE,361850,2023-05-23 11:16:00+00,26.35,26.95,9882200
106.9,NFO,107.45,NIFTY25MAY2318500PE,225850,2023-05-23 11:16:00+00,106,106,3050000
